params,mean_test_score,std_test_score
"{'elastic_net__alpha': 0.1, 'elastic_net__l1_ratio': 0.1}",0.42879731332230947,0.015453450397682606
"{'elastic_net__alpha': 0.1, 'elastic_net__l1_ratio': 0.5}",0.15286955450328935,0.004619102604802285
"{'elastic_net__alpha': 0.1, 'elastic_net__l1_ratio': 0.9}",0.06871682966977885,0.0006225728579736101
"{'elastic_net__alpha': 1, 'elastic_net__l1_ratio': 0.1}",0.048181440717701064,0.0006325738258071972
"{'elastic_net__alpha': 1, 'elastic_net__l1_ratio': 0.5}",-0.0018387781375146096,0.0005590695560224756
"{'elastic_net__alpha': 1, 'elastic_net__l1_ratio': 0.9}",-0.0018387781375146096,0.0005590695560224756
"{'elastic_net__alpha': 10, 'elastic_net__l1_ratio': 0.1}",-0.0018387781375146096,0.0005590695560224756
"{'elastic_net__alpha': 10, 'elastic_net__l1_ratio': 0.5}",-0.0018387781375146096,0.0005590695560224756
"{'elastic_net__alpha': 10, 'elastic_net__l1_ratio': 0.9}",-0.0018387781375146096,0.0005590695560224756
"{'elastic_net__alpha': 100, 'elastic_net__l1_ratio': 0.1}",-0.0018387781375146096,0.0005590695560224756
"{'elastic_net__alpha': 100, 'elastic_net__l1_ratio': 0.5}",-0.0018387781375146096,0.0005590695560224756
"{'elastic_net__alpha': 100, 'elastic_net__l1_ratio': 0.9}",-0.0018387781375146096,0.0005590695560224756
